DataKey,Date,Length,week,Comments,GeneticSex,AssignType,Adipose,GenPBT_Rgroup,Stock,BY,Basin,GenStock,GenStockProb,Big,Month,GenPa,GenMa
OmyZON623S_0011,44804,645,1,,F,PBT,AD,2019-IRRI-WALL-WallowaR,Wallowa-OR,2019,Snake,UPSALM,0.763926633,Small,8,OmyWALL19S_0054,OmyWALL19S_0045
OmyZON623S_0012,44804,845,1,,M,PBT,AD,2019-DWOR-DWOR-NFClearwaterR-AdClip,Dwor-C,2019,Snake,SFCLWR,0.99442901,Large,8,OmyDWOR19S_0167,OmyDWOR19S_0038
OmyZON623S_0014,44804,550,1,,F,PBT,AD,Umatilla2020,Umatilla,2020,Mid-C,MGILCS,0.989258251,Small,8,OmyUmaPBT20-0027,OmyUmaPBT20-0057
OmyZON623S_0016,44804,890,1,,M,PBT,AD,2019-DWOR-DWOR-NFClearwaterR-AdClip,Dwor-C,2019,Snake,SFCLWR,0.999958285,Large,8,OmyDWOR19S_0555,OmyDWOR19S_0423
OmyZON623S_0017,44804,845,1,,M,PBT,AD,2019-DWOR-DWOR-NFClearwaterR-AdClip,Dwor-C,2019,Snake,SFCLWR,0.999987971,Large,8,OmyDWOR19S_0307,OmyDWOR19S_0070
OmyZON623S_0019,44804,670,1,,F,PBT,AD,2019-NIAG-OXBO-SnakeR-HellsCanyon-AdClip,Oxbow,2019,Snake,UPSALM,0.882134439,Small,8,OmyOXBO19S_0158,OmyOXBO19S_0458
OmyZON623S_0020,44804,515,1,,F,PBT,AD,2020-IRRI-WALL-WallowaR,Wallowa-OR,2020,Snake,MGILCS,0.9979767,Small,8,OmyWALL20S_0322,OmyWALL20S_0315
OmyZON623S_0021,44804,615,1,,F,PBT,AD,Wells2019,Wells,2019,Up-C,UPSALM,0.639766086,Small,8,OmyWellsPBT19-0002,OmyWellsPBT19-0103
OmyZON623S_0023,44804,760,1,,M,PBT,AD,Wells2019,Wells,2019,Up-C,UPSALM,0.499331179,Small,8,OmyWellsPBT19-0148,OmyWellsPBT19-0208
OmyZON623S_0024,44804,860,1,,F,PBT,AD,2019-DWOR-DWOR-RedHouse-AdClip,Dwor-C,2019,Snake,SFCLWR,0.999928167,Large,8,OmyDWOR19S_0746,OmyDWOR19S_0483
OmyZON623S_0089,44804,830,1,,F,PBT,AD,2019-DWOR-DWOR-RedHouse-AdClip,Dwor-C,2019,Snake,SFCLWR,0.99799615,Large,8,OmyDWOR19S_0797,OmyDWOR19S_0492
OmyZON623S_0090,44804,810,1,,F,PBT,AD,2019-DWOR-DWOR-RedHouse-AdClip,Dwor-C,2019,Snake,SFCLWR,0.999999831,Large,8,OmyDWOR19S_0704,OmyDWOR19S_0454
OmyZON623S_0092,44804,830,1,,M,PBT,AD,2019-CLWH-SFCR-MeadowCr-AdClip,SF Clearwater,2019,Snake,SFCLWR,0.999998768,Large,8,OmyDWOR19S_1041,OmyDWOR19S_1240
OmyZON623S_0093,44804,840,1,,F,PBT,AD,2019-DWOR-DWOR-ClearCr-AdClip,Dwor-C,2019,Snake,SFCLWR,0.999579771,Large,8,OmyDWOR19S_0372,OmyDWOR19S_0236
OmyZON623S_0095,44804,860,1,,M,PBT,AD,2019-DWOR-DWOR-NFClearwaterR-AdClip,Dwor-C,2019,Snake,SFCLWR,0.999997881,Large,8,OmyDWOR19S_0335,OmyDWOR19S_0206
OmyZON623S_0096,44804,830,1,,F,PBT,AD,2019-DWOR-DWOR-NFClearwaterR-AdClip,Dwor-C,2019,Snake,SFCLWR,0.995610008,Large,8,OmyDWOR19S_0528,OmyDWOR19S_0289
OmyZON623S_0097,44804,880,1,,M,PBT,AD,Wells2019,Wells,2019,Up-C,MGILCS,0.617985127,Large,8,OmyWellsPBT19-0172,OmyWellsPBT19-0234
OmyZON623S_0098,44804,795,1,,M,PBT,AD,2019-DWOR-DWOR-NFClearwaterR-AdClip,Dwor-C,2019,Snake,SFCLWR,0.99953129,Large,8,OmyDWOR19S_0107,OmyDWOR19S_0007
OmyZON623S_0099,44804,880,1,,M,PBT,AD,2019-CLWH-SFCR-RedHouse-AdClip,SF Clearwater,2019,Snake,SFCLWR,0.999028198,Large,8,OmyDWOR19S_0777,OmyDWOR19S_1359
OmyZON623S_0101,44804,860,1,,M,PBT,AD,2019-DWOR-DWOR-RedHouse-AdClip,Dwor-C,2019,Snake,SFCLWR,0.984412498,Large,8,OmyDWOR19S_0720,OmyDWOR19S_0467
OmyZON623S_0104,44804,830,1,,M,PBT,AD,2019-DWOR-DWOR-NFClearwaterR-AdClip,Dwor-C,2019,Snake,SFCLWR,0.999998647,Large,8,OmyDWOR19S_0164,OmyDWOR19S_0004
OmyZON623S_0105,44804,830,1,,M,PBT,AD,2019-DWOR-DWOR-NFClearwaterR-AdClip,Dwor-C,2019,Snake,SFCLWR,0.999994839,Large,8,OmyDWOR19S_0577,OmyDWOR19S_0435
OmyZON623S_0106,44804,860,1,,M,PBT,AD,2019-DWOR-DWOR-RedHouse-AdClip,Dwor-C,2019,Snake,SFCLWR,0.999996716,Large,8,OmyDWOR19S_0815,OmyDWOR19S_1360
OmyZON623S_0107,44804,870,1,,M,PBT,AD,2019-DWOR-DWOR-NFClearwaterR-AdClip,Dwor-C,2019,Snake,MGILCS,0.680119022,Large,8,OmyDWOR19S_0315,OmyDWOR19S_0085
OmyZON623S_0028,44805,770,1,,M,PBT,AD,2019-NIAG-OXBO-SnakeR-HellsCanyon-AdClip,Oxbow,2019,Snake,UPSALM,0.842358662,Small,9,OmyOXBO19S_0132,OmyOXBO19S_0432
OmyZON623S_0029,44805,820,1,,F,PBT,AD,2019-DWOR-DWOR-RedHouse-AdClip,Dwor-C,2019,Snake,SFCLWR,0.999998554,Large,9,OmyDWOR19S_0709,OmyDWOR19S_0456
OmyZON623S_0030,44805,648,1,,F,PBT,AD,2019-NIAG-PAHS-PahsimeroiR-AdClip,Pahsimeroi,2019,Snake,MGILCS,0.546405722,Small,9,OmyPAHH19S_0405,OmyPAHH19S_1005
OmyZON623S_0031,44805,560,1,,F,PBT,AD,2020-NIAG-OXBO-SnakeR-HellsCanyon-AdClip,Oxbow,2020,Snake,UPSALM,0.949694289,Small,9,OmyOXBO20S_0108,OmyOXBO20S_0408
